Rank|Sequence|Rank as bits|Sum|Adjusted sum|Length|Rank in adjusted sum and length class|Image cardinality|Image|Is strictly increasing|Is RGF sequence
135|(0, 6)|(1, 0, 0, 0, 0, 1, 1, 1)|6|8|2|6|2|(0, 6)|True|False
136|(5, 0, 0)|(1, 0, 0, 0, 1, 0, 0, 0)|5|8|3|0|2|(0, 5)|False|False
137|(4, 1, 0)|(1, 0, 0, 0, 1, 0, 0, 1)|5|8|3|1|3|(0, 1, 4)|False|False
138|(4, 0, 1)|(1, 0, 0, 0, 1, 0, 1, 0)|5|8|3|2|3|(0, 1, 4)|False|False
139|(3, 2, 0)|(1, 0, 0, 0, 1, 0, 1, 1)|5|8|3|3|3|(0, 2, 3)|False|False
140|(3, 1, 1)|(1, 0, 0, 0, 1, 1, 0, 0)|5|8|3|4|2|(1, 3)|False|False
141|(3, 0, 2)|(1, 0, 0, 0, 1, 1, 0, 1)|5|8|3|5|3|(0, 2, 3)|False|False
142|(2, 3, 0)|(1, 0, 0, 0, 1, 1, 1, 0)|5|8|3|6|3|(0, 2, 3)|False|False
143|(2, 2, 1)|(1, 0, 0, 0, 1, 1, 1, 1)|5|8|3|7|2|(1, 2)|False|False
144|(2, 1, 2)|(1, 0, 0, 1, 0, 0, 0, 0)|5|8|3|8|2|(1, 2)|False|False
145|(2, 0, 3)|(1, 0, 0, 1, 0, 0, 0, 1)|5|8|3|9|3|(0, 2, 3)|False|False
146|(1, 4, 0)|(1, 0, 0, 1, 0, 0, 1, 0)|5|8|3|10|3|(0, 1, 4)|False|False
147|(1, 3, 1)|(1, 0, 0, 1, 0, 0, 1, 1)|5|8|3|11|2|(1, 3)|False|False
148|(1, 2, 2)|(1, 0, 0, 1, 0, 1, 0, 0)|5|8|3|12|2|(1, 2)|False|False
149|(1, 1, 3)|(1, 0, 0, 1, 0, 1, 0, 1)|5|8|3|13|2|(1, 3)|False|False
150|(1, 0, 4)|(1, 0, 0, 1, 0, 1, 1, 0)|5|8|3|14|3|(0, 1, 4)|False|False
151|(0, 5, 0)|(1, 0, 0, 1, 0, 1, 1, 1)|5|8|3|15|2|(0, 5)|False|False
152|(0, 4, 1)|(1, 0, 0, 1, 1, 0, 0, 0)|5|8|3|16|3|(0, 1, 4)|False|False
153|(0, 3, 2)|(1, 0, 0, 1, 1, 0, 0, 1)|5|8|3|17|3|(0, 2, 3)|False|False
154|(0, 2, 3)|(1, 0, 0, 1, 1, 0, 1, 0)|5|8|3|18|3|(0, 2, 3)|True|False
155|(0, 1, 4)|(1, 0, 0, 1, 1, 0, 1, 1)|5|8|3|19|3|(0, 1, 4)|True|False
156|(0, 0, 5)|(1, 0, 0, 1, 1, 1, 0, 0)|5|8|3|20|2|(0, 5)|False|False
157|(4, 0, 0, 0)|(1, 0, 0, 1, 1, 1, 0, 1)|4|8|4|0|2|(0, 4)|False|False
158|(3, 1, 0, 0)|(1, 0, 0, 1, 1, 1, 1, 0)|4|8|4|1|3|(0, 1, 3)|False|False
159|(3, 0, 1, 0)|(1, 0, 0, 1, 1, 1, 1, 1)|4|8|4|2|3|(0, 1, 3)|False|False
160|(3, 0, 0, 1)|(1, 0, 1, 0, 0, 0, 0, 0)|4|8|4|3|3|(0, 1, 3)|False|False
161|(2, 2, 0, 0)|(1, 0, 1, 0, 0, 0, 0, 1)|4|8|4|4|2|(0, 2)|False|False
162|(2, 1, 1, 0)|(1, 0, 1, 0, 0, 0, 1, 0)|4|8|4|5|3|(0, 1, 2)|False|False
163|(2, 1, 0, 1)|(1, 0, 1, 0, 0, 0, 1, 1)|4|8|4|6|3|(0, 1, 2)|False|False
164|(2, 0, 2, 0)|(1, 0, 1, 0, 0, 1, 0, 0)|4|8|4|7|2|(0, 2)|False|False
165|(2, 0, 1, 1)|(1, 0, 1, 0, 0, 1, 0, 1)|4|8|4|8|3|(0, 1, 2)|False|False
166|(2, 0, 0, 2)|(1, 0, 1, 0, 0, 1, 1, 0)|4|8|4|9|2|(0, 2)|False|False
167|(1, 3, 0, 0)|(1, 0, 1, 0, 0, 1, 1, 1)|4|8|4|10|3|(0, 1, 3)|False|False
168|(1, 2, 1, 0)|(1, 0, 1, 0, 1, 0, 0, 0)|4|8|4|11|3|(0, 1, 2)|False|False
169|(1, 2, 0, 1)|(1, 0, 1, 0, 1, 0, 0, 1)|4|8|4|12|3|(0, 1, 2)|False|False
170|(1, 1, 2, 0)|(1, 0, 1, 0, 1, 0, 1, 0)|4|8|4|13|3|(0, 1, 2)|False|False
171|(1, 1, 1, 1)|(1, 0, 1, 0, 1, 0, 1, 1)|4|8|4|14|1|(1,)|False|False
172|(1, 1, 0, 2)|(1, 0, 1, 0, 1, 1, 0, 0)|4|8|4|15|3|(0, 1, 2)|False|False
173|(1, 0, 3, 0)|(1, 0, 1, 0, 1, 1, 0, 1)|4|8|4|16|3|(0, 1, 3)|False|False
174|(1, 0, 2, 1)|(1, 0, 1, 0, 1, 1, 1, 0)|4|8|4|17|3|(0, 1, 2)|False|False
175|(1, 0, 1, 2)|(1, 0, 1, 0, 1, 1, 1, 1)|4|8|4|18|3|(0, 1, 2)|False|False
176|(1, 0, 0, 3)|(1, 0, 1, 1, 0, 0, 0, 0)|4|8|4|19|3|(0, 1, 3)|False|False
177|(0, 4, 0, 0)|(1, 0, 1, 1, 0, 0, 0, 1)|4|8|4|20|2|(0, 4)|False|False
178|(0, 3, 1, 0)|(1, 0, 1, 1, 0, 0, 1, 0)|4|8|4|21|3|(0, 1, 3)|False|False
179|(0, 3, 0, 1)|(1, 0, 1, 1, 0, 0, 1, 1)|4|8|4|22|3|(0, 1, 3)|False|False
180|(0, 2, 2, 0)|(1, 0, 1, 1, 0, 1, 0, 0)|4|8|4|23|2|(0, 2)|False|False
181|(0, 2, 1, 1)|(1, 0, 1, 1, 0, 1, 0, 1)|4|8|4|24|3|(0, 1, 2)|False|False
182|(0, 2, 0, 2)|(1, 0, 1, 1, 0, 1, 1, 0)|4|8|4|25|2|(0, 2)|False|False
183|(0, 1, 3, 0)|(1, 0, 1, 1, 0, 1, 1, 1)|4|8|4|26|3|(0, 1, 3)|False|False
184|(0, 1, 2, 1)|(1, 0, 1, 1, 1, 0, 0, 0)|4|8|4|27|3|(0, 1, 2)|False|True
185|(0, 1, 1, 2)|(1, 0, 1, 1, 1, 0, 0, 1)|4|8|4|28|3|(0, 1, 2)|False|True
186|(0, 1, 0, 3)|(1, 0, 1, 1, 1, 0, 1, 0)|4|8|4|29|3|(0, 1, 3)|False|False
187|(0, 0, 4, 0)|(1, 0, 1, 1, 1, 0, 1, 1)|4|8|4|30|2|(0, 4)|False|False
188|(0, 0, 3, 1)|(1, 0, 1, 1, 1, 1, 0, 0)|4|8|4|31|3|(0, 1, 3)|False|False
189|(0, 0, 2, 2)|(1, 0, 1, 1, 1, 1, 0, 1)|4|8|4|32|2|(0, 2)|False|False
190|(0, 0, 1, 3)|(1, 0, 1, 1, 1, 1, 1, 0)|4|8|4|33|3|(0, 1, 3)|False|False
191|(0, 0, 0, 4)|(1, 0, 1, 1, 1, 1, 1, 1)|4|8|4|34|2|(0, 4)|False|False
192|(3, 0, 0, 0, 0)|(1, 1, 0, 0, 0, 0, 0, 0)|3|8|5|0|2|(0, 3)|False|False
193|(2, 1, 0, 0, 0)|(1, 1, 0, 0, 0, 0, 0, 1)|3|8|5|1|3|(0, 1, 2)|False|False
194|(2, 0, 1, 0, 0)|(1, 1, 0, 0, 0, 0, 1, 0)|3|8|5|2|3|(0, 1, 2)|False|False
195|(2, 0, 0, 1, 0)|(1, 1, 0, 0, 0, 0, 1, 1)|3|8|5|3|3|(0, 1, 2)|False|False
196|(2, 0, 0, 0, 1)|(1, 1, 0, 0, 0, 1, 0, 0)|3|8|5|4|3|(0, 1, 2)|False|False
197|(1, 2, 0, 0, 0)|(1, 1, 0, 0, 0, 1, 0, 1)|3|8|5|5|3|(0, 1, 2)|False|False
198|(1, 1, 1, 0, 0)|(1, 1, 0, 0, 0, 1, 1, 0)|3|8|5|6|2|(0, 1)|False|False
199|(1, 1, 0, 1, 0)|(1, 1, 0, 0, 0, 1, 1, 1)|3|8|5|7|2|(0, 1)|False|False
200|(1, 1, 0, 0, 1)|(1, 1, 0, 0, 1, 0, 0, 0)|3|8|5|8|2|(0, 1)|False|False
201|(1, 0, 2, 0, 0)|(1, 1, 0, 0, 1, 0, 0, 1)|3|8|5|9|3|(0, 1, 2)|False|False
202|(1, 0, 1, 1, 0)|(1, 1, 0, 0, 1, 0, 1, 0)|3|8|5|10|2|(0, 1)|False|False
203|(1, 0, 1, 0, 1)|(1, 1, 0, 0, 1, 0, 1, 1)|3|8|5|11|2|(0, 1)|False|False
204|(1, 0, 0, 2, 0)|(1, 1, 0, 0, 1, 1, 0, 0)|3|8|5|12|3|(0, 1, 2)|False|False
205|(1, 0, 0, 1, 1)|(1, 1, 0, 0, 1, 1, 0, 1)|3|8|5|13|2|(0, 1)|False|False
206|(1, 0, 0, 0, 2)|(1, 1, 0, 0, 1, 1, 1, 0)|3|8|5|14|3|(0, 1, 2)|False|False
207|(0, 3, 0, 0, 0)|(1, 1, 0, 0, 1, 1, 1, 1)|3|8|5|15|2|(0, 3)|False|False
208|(0, 2, 1, 0, 0)|(1, 1, 0, 1, 0, 0, 0, 0)|3|8|5|16|3|(0, 1, 2)|False|False
209|(0, 2, 0, 1, 0)|(1, 1, 0, 1, 0, 0, 0, 1)|3|8|5|17|3|(0, 1, 2)|False|False
210|(0, 2, 0, 0, 1)|(1, 1, 0, 1, 0, 0, 1, 0)|3|8|5|18|3|(0, 1, 2)|False|False
211|(0, 1, 2, 0, 0)|(1, 1, 0, 1, 0, 0, 1, 1)|3|8|5|19|3|(0, 1, 2)|False|True
212|(0, 1, 1, 1, 0)|(1, 1, 0, 1, 0, 1, 0, 0)|3|8|5|20|2|(0, 1)|False|True
213|(0, 1, 1, 0, 1)|(1, 1, 0, 1, 0, 1, 0, 1)|3|8|5|21|2|(0, 1)|False|True
214|(0, 1, 0, 2, 0)|(1, 1, 0, 1, 0, 1, 1, 0)|3|8|5|22|3|(0, 1, 2)|False|True
215|(0, 1, 0, 1, 1)|(1, 1, 0, 1, 0, 1, 1, 1)|3|8|5|23|2|(0, 1)|False|True
216|(0, 1, 0, 0, 2)|(1, 1, 0, 1, 1, 0, 0, 0)|3|8|5|24|3|(0, 1, 2)|False|True
217|(0, 0, 3, 0, 0)|(1, 1, 0, 1, 1, 0, 0, 1)|3|8|5|25|2|(0, 3)|False|False
218|(0, 0, 2, 1, 0)|(1, 1, 0, 1, 1, 0, 1, 0)|3|8|5|26|3|(0, 1, 2)|False|False
219|(0, 0, 2, 0, 1)|(1, 1, 0, 1, 1, 0, 1, 1)|3|8|5|27|3|(0, 1, 2)|False|False
220|(0, 0, 1, 2, 0)|(1, 1, 0, 1, 1, 1, 0, 0)|3|8|5|28|3|(0, 1, 2)|False|True
221|(0, 0, 1, 1, 1)|(1, 1, 0, 1, 1, 1, 0, 1)|3|8|5|29|2|(0, 1)|False|True
222|(0, 0, 1, 0, 2)|(1, 1, 0, 1, 1, 1, 1, 0)|3|8|5|30|3|(0, 1, 2)|False|True
223|(0, 0, 0, 3, 0)|(1, 1, 0, 1, 1, 1, 1, 1)|3|8|5|31|2|(0, 3)|False|False
224|(0, 0, 0, 2, 1)|(1, 1, 1, 0, 0, 0, 0, 0)|3|8|5|32|3|(0, 1, 2)|False|False
225|(0, 0, 0, 1, 2)|(1, 1, 1, 0, 0, 0, 0, 1)|3|8|5|33|3|(0, 1, 2)|False|True
226|(0, 0, 0, 0, 3)|(1, 1, 1, 0, 0, 0, 1, 0)|3|8|5|34|2|(0, 3)|False|False
227|(2, 0, 0, 0, 0, 0)|(1, 1, 1, 0, 0, 0, 1, 1)|2|8|6|0|2|(0, 2)|False|False
228|(1, 1, 0, 0, 0, 0)|(1, 1, 1, 0, 0, 1, 0, 0)|2|8|6|1|2|(0, 1)|False|False
229|(1, 0, 1, 0, 0, 0)|(1, 1, 1, 0, 0, 1, 0, 1)|2|8|6|2|2|(0, 1)|False|False
230|(1, 0, 0, 1, 0, 0)|(1, 1, 1, 0, 0, 1, 1, 0)|2|8|6|3|2|(0, 1)|False|False
231|(1, 0, 0, 0, 1, 0)|(1, 1, 1, 0, 0, 1, 1, 1)|2|8|6|4|2|(0, 1)|False|False
232|(1, 0, 0, 0, 0, 1)|(1, 1, 1, 0, 1, 0, 0, 0)|2|8|6|5|2|(0, 1)|False|False
233|(0, 2, 0, 0, 0, 0)|(1, 1, 1, 0, 1, 0, 0, 1)|2|8|6|6|2|(0, 2)|False|False
234|(0, 1, 1, 0, 0, 0)|(1, 1, 1, 0, 1, 0, 1, 0)|2|8|6|7|2|(0, 1)|False|True
235|(0, 1, 0, 1, 0, 0)|(1, 1, 1, 0, 1, 0, 1, 1)|2|8|6|8|2|(0, 1)|False|True
